88,82,83
89,83,84
90,84,85
91,85,86
92,86,87
93,87,88
94,88,89
95,89,90
96,90,91
97,91,92
98,92,93
99,93,94
100,94,95
101,95,96
102,96,97
103,97,98
104,98,99
105,99,100
107,101,102
108,102,103
111,105,106
113,107,108
115,211,110
116,110,111
117,111,112
118,112,113
119,113,114
120,114,115
121,115,116
123,117,118
127,114,122
128,122,123
131,123,126
132,126,127
133,127,128
134,128,129
135,129,130
136,130,131
137,131,132
138,132,133
139,133,134
143,137,138
144,138,139
145,139,140
146,140,141
161,141,156
162,156,157
163,157,158
164,158,159
165,159,160
166,116,161
167,161,117
168,118,162
169,162,119
170,112,163
171,163,164
172,164,165
174,166,167
175,167,168
176,168,169
177,169,170
178,170,171
179,171,172
180,169,173
181,173,174
182,174,175
183,175,176
184,176,177
185,177,213
187,179,180
188,180,181
189,175,182
190,182,183
191,183,184
192,100,185
193,185,101
195,186,104
196,132,220
198,188,218
200,190,191
201,191,192
202,192,193
203,134,194
204,194,195
205,195,196
207,197,198
208,198,199
209,199,200
211,201,135
212,134,202
213,202,201
214,108,203
216,203,215
217,211,166
218,215,211
219,220,188
220,218,190
221,82,221
222,221,222
223,222,223
224,223,224
225,224,225
226,225,226
227,226,227
228,227,228
229,228,229
230,229,230
231,230,231
232,231,232
233,232,233
234,233,234
235,234,235
236,235,236
239,448,442
240,442,241
241,241,444
242,242,243
243,243,244
244,244,245
245,245,246
246,246,247
247,247,248
248,248,249
249,249,250
250,250,251
251,251,252
252,252,253
253,253,254
254,254,255
255,255,256
256,256,257
257,257,258
258,258,259
259,259,260
260,260,261
261,261,262
262,262,263
263,263,264
264,264,265
265,265,266
266,266,267
267,267,268
268,268,269
269,269,270
270,270,271
271,271,272
272,272,273
273,273,274
274,274,275
275,275,276
276,276,277
277,277,278
278,278,279
279,279,280
280,280,282
282,282,283
283,283,284
284,284,285
285,285,286
286,286,287
287,287,288
288,288,289
289,289,290
290,290,291
291,291,292
292,292,293
293,293,294
294,294,295
295,295,296
296,296,297
297,297,298
298,298,300
299,300,329
300,237,301
301,301,302
302,302,303
303,303,304
304,304,305
305,305,306
306,306,307
307,307,308
308,308,309
309,309,310
310,310,311
311,311,312
312,312,313
313,313,314
314,314,315
315,315,160
316,236,316
317,316,317
318,317,318
319,318,319
320,319,320
321,320,321
322,321,322
323,322,323
324,323,324
325,324,325
326,325,326
327,326,327
328,327,328
330,326,330
331,330,331
332,331,332
333,332,333
334,333,334
335,334,335
336,335,336
337,336,337
338,337,338
339,338,339
340,339,340
341,340,341
342,341,342
343,342,343
344,344,345
345,345,346
346,346,347
347,347,348
348,348,349
349,349,350
350,350,351
351,351,352
352,352,353
353,353,354
354,354,355
355,355,356
356,356,357
357,357,358
358,358,326
359,343,359
360,380,360
362,361,362
363,362,363
365,364,365
366,362,366
367,362,367
368,365,368
369,365,369
373,372,373
375,374,375
377,376,377
379,378,344
380,359,380
382,381,378
383,500,370
385,448,383
386,383,384
387,384,385
388,385,386
389,386,387
390,387,388
391,388,389
392,389,390
393,390,391
394,391,392
396,213,179
397,106,393
398,393,107
399,190,394
402,396,197
404,393,397
405,397,398
406,398,399
407,399,400
408,113,401
409,401,205
410,123,402
411,402,124
413,444,242
426,124,416
427,416,125
428,205,417
429,417,155
432,394,396
434,366,370
436,380,420
437,420,381
438,100,425
439,425,105
442,103,426
443,426,186
444,392,237
445,329,328
446,137,449
447,449,450
448,450,371
449,136,452
450,452,453
451,453,415
452,135,455
453,455,456
454,456,413
456,160,502
457,502,503
458,503,504
459,504,505
460,505,506
461,506,507
462,507,508
463,508,509
464,509,510
465,510,511
466,511,512
467,512,513
468,513,514
469,514,515
470,515,516
471,516,517
473,546,520
475,520,521
476,521,522
477,522,523
478,523,524
505,518,546
506,517,551
507,551,518
518,557,540
522,543,555
523,555,557
528,540,558
530,560,557
533,520,519
540,558,565
542,565,566
544,566,567
546,567,568
548,568,569
550,569,570
552,570,571
554,571,572
556,572,573
558,573,574
560,574,575
562,575,576
564,576,577
566,577,578
568,578,579
570,579,580
572,580,581
574,581,582
576,582,583
578,583,584
580,584,585
582,585,586
584,586,587
586,587,588
588,588,589
590,589,590
592,590,591
594,591,592
596,592,593
598,593,594
605,531,599
607,594,599
608,531,600
609,600,301
611,598,601
612,601,392
614,301,602
616,602,302
622,602,606
623,606,605
624,603,607
626,607,608
628,608,609
629,609,604
630,604,610
631,610,611
632,605,603
634,594,531
